aspect,metric,baseline,after_feedback,delta,interpretation
Data,rows,2039.0,2063.0,24.0,Training coverage increased
Data,resonant_rows,1615.0,1637.0,22.0,Training coverage increased
Data,dead_rows,424.0,426.0,2.0,Training coverage increased
Data,target_window_rows,1615.0,1637.0,22.0,Training coverage increased
Classification,Accuracy,0.8823529411764706,0.8910411622276029,0.008688221051132317,Improved
Classification,Balanced accuracy,0.8,0.7875896700143472,-0.012410329985652835,Reduced
Classification,Precision,0.9129129129129129,0.9054441260744985,-0.007468786838414343,Reduced
Classification,Recall,0.9411764705882353,0.9634146341463414,0.02223816355810615,Improved
Classification,F1 score,0.926829268292683,0.9335302806499262,0.006701012357243186,Improved
Classification,AUC-ROC,0.9051538881806592,0.9199067431850789,0.014752855004419696,Improved
Classification,Log loss,0.520626826479479,0.6712909981203927,0.15066417164091372,Reduced
Regression,BW R2,0.5567150543992729,0.5624890833023534,0.00577402890308043,Improved
Regression,BW MAE,0.3348081379706584,0.329880890122464,-0.0049272478481943716,Improved
Regression,BW RMSE,0.5226435978936343,0.5462727432260488,0.023629145332414447,Reduced
Regression,FL R2,0.670408882016718,0.7430551083137124,0.07264622629699435,Improved
Regression,FL MAE,0.23079550313890226,0.21743444990137115,-0.013361053237531118,Improved
Regression,FL RMSE,0.47962258429135396,0.4095848014216449,-0.07003778286970908,Improved
Regression,FU R2,0.5703469555020766,0.566649787582113,-0.003697167919963551,Reduced
Regression,FU MAE,0.4251936782780386,0.40792432618770547,-0.017269352090333145,Improved
Regression,FU RMSE,0.6272080368448064,0.6266347650955195,-0.0005732717492868966,Improved
