active_rank,LG,WR,LR,WF,why_simulate,active_learning_score,classification_uncertainty,total_model_std,prob_resonant,pred_FL,pred_FU,pred_BW,expected_BW,bw_model_std,fl_model_std,fu_model_std,physics_fc,physics_score,physics_guided_score
1,6.5,11.75,3.3,4.7,balanced active-learning candidate,0.6013740645846785,0.9577017390540898,0.5396697872705929,0.5211491304729551,5.365842781051851,8.12593316042123,2.8989723835357095,1.5107969369447452,0.30050567461704963,0.06353718464494021,0.17562692800860305,6.6,0.43240701486699823,0.9638878463969697
2,5.5,11.25,3.0,4.2,balanced active-learning candidate,0.598703814113008,0.8867141863424413,0.7255229029732371,0.5566429068287794,5.895449720306069,8.132983918527927,2.595984131217587,1.445036152882341,0.2795943170087579,0.24688147729233223,0.19904710867214695,7.2,0.6697084412343365,1.017393686854704
3,6.0,11.75,3.3,4.4,balanced active-learning candidate,0.5922715080885907,0.8730954120225896,0.5758618274432147,0.5634522939887052,5.416501135537176,8.172743685057519,2.819899822758525,1.5888790239516342,0.26901174777068165,0.032715595418404284,0.27413448425412873,6.8,0.6707533907355812,1.1283891714296124
4,7.0,11.5,3.0,4.1,balanced active-learning candidate,0.5862308086435958,0.9716411279077242,0.90035319281409,0.5141794360461379,6.256082209854011,7.664386193837204,1.758626398863365,0.9042495299834155,0.10713369581252541,0.584441528756763,0.2087779682448015,6.8,0.44206620164440374,0.6800408300764362
5,6.0,11.75,3.3,4.8,balanced active-learning candidate,0.58305792248995,0.8475037717312077,0.6223935870334149,0.5762481141343961,5.316457092320322,8.092271375741218,2.8478645911208798,1.6410765999435302,0.3938979618129912,0.02726044616289016,0.2012351790575335,6.7,0.3935803029842834,0.963142413840795
6,6.0,11.75,3.0,4.9,balanced active-learning candidate,0.5827417900968817,0.9843572354166839,0.5428392456228875,0.4921786177083419,5.278843304620464,7.938197066747386,2.650548670304854,1.3045433807193267,0.31753451419015527,0.11913899248829221,0.10616573894444002,6.6,0.33208479812086006,0.7917409850265217
7,7.0,11.5,3.0,4.0,balanced active-learning candidate,0.5825284166819187,0.9322029726409591,0.9610327774241845,0.5338985136795205,6.2070467195782255,7.6059960297695035,1.798397235842647,0.9601616112217473,0.24781354252478016,0.4857408222763358,0.22747841262306848,6.8,0.45672010426151005,0.6440631022361194
8,5.5,11.5,3.0,4.1,balanced active-learning candidate,0.5800932872814406,0.9091972294454091,0.6001958039835664,0.5454013852772954,5.531688094697471,7.859679610917506,2.470727593698787,1.3475382522461572,0.2603861933082044,0.05066066076216561,0.28914894991319645,7.2,0.7921215537849979,1.002471315162628
9,5.5,11.25,3.0,4.1,balanced active-learning candidate,0.5793387256854243,0.9518024189506236,0.49601728283031815,0.5240987905246882,5.734869144043203,8.086234223531134,2.5068783402569457,1.313851906121203,0.1940819348194585,0.15478278052920005,0.14715256748165956,7.2,0.7442931479276257,1.0158964726348967
10,6.0,11.75,3.0,5.0,balanced active-learning candidate,0.5790810864800067,0.9880438322248418,0.48910050066135397,0.4940219161124209,5.273042028204536,7.903652173684982,2.67606205215494,1.3220333026413207,0.28383079897862457,0.11228378298425859,0.09298591869847077,6.6,0.27892107529449617,0.8069959045830071
