feature,ET,RF,mean_importance
LG2_WR,0.028059243179765925,0.0614177108883921,0.044738477034079016
LG_WR,0.02564428160321852,0.05375532800469458,0.03969980480395655
LG2,0.03891739698007246,0.02366557915498217,0.031291488067527316
LG3,0.03585987778735677,0.024834344995103553,0.030347111391230162
WR_d11_WF,0.01691227157532511,0.04212164810626755,0.02951695984079633
WR2_LG,0.022166525591686765,0.03668587749269472,0.029426201542190743
cosLG1,0.029975903378431586,0.025378429610902718,0.02767716649466715
logLG,0.029545883220910025,0.025245070249717453,0.02739547673531374
WR_LGr,0.021203109553076697,0.030895985727519053,0.026049547640297877
LG,0.029466532868418764,0.02229764722951658,0.025882090048967674
LG_WRr,0.017690061018221966,0.030288264261897783,0.023989162640059875
zone_LG,0.022129720431085534,0.024981062603162126,0.023555391517123832
LG_LR,0.02429769960378355,0.01856421253672483,0.021430956070254192
cosLG2,0.02619918938464504,0.015438994291246361,0.0208190918379457
LR_LG_WF_zone,0.0169771027027021,0.021195140260475896,0.019086121481588995
LG_WR_WF,0.015438468429649575,0.021631025046590605,0.01853474673812009
LG_WR_LR_WF,0.015718227718340232,0.020424967537433263,0.018071597627886748
WR_WF,0.016893448776893298,0.01887013669818318,0.01788179273753824
LG_WF_zone,0.015973585240980828,0.019714643319927817,0.01784411428045432
sinLG1,0.025389672021112666,0.010102193469798787,0.017745932745455727
WR_d11_LG,0.01148346415980419,0.02135269605085659,0.016418080105330392
LR_WF2,0.01755475424894175,0.015280967671054567,0.01641786095999816
LR_LG_WF,0.015133787958780212,0.01629431941485698,0.015714053686818597
WR_b3_LR_WF,0.015911594141529702,0.014484273499121441,0.015197933820325572
LR_WF,0.0168847046172198,0.013274389288392427,0.015079546952806114
WF2_LG,0.014065964724517686,0.015488001049329287,0.014776982886923487
LG_WF,0.01430765448310553,0.015220371707418844,0.014764013095262186
WR_WFr,0.014239630672788594,0.015231486384516726,0.01473555852865266
WR_b3_LG_WF,0.014403027612604301,0.013861716460597619,0.014132372036600959
WF3,0.015843233534592403,0.009763803862656024,0.012803518698624214
sinWF1_LG,0.012959155660660731,0.012230792727288003,0.012594974193974366
WR_d11_LR,0.009134976812280184,0.015810569681477326,0.012472773246878755
WF,0.014974989088903752,0.009715087487979026,0.012345038288441388
WR_d1125,0.014108568654075029,0.010505641105634423,0.012307104879854727
logWF,0.01477816654967899,0.009179049359527264,0.011978607954603128
WF2,0.015279566100771514,0.008671574017121538,0.011975570058946526
sinLG2,0.01508863205559892,0.00812463164424088,0.011606631849919901
cosWF1_LG,0.011007571731407807,0.011878806552423397,0.011443189141915602
WR2,0.009355859743009698,0.013381041966087448,0.011368450854548573
dWR_10.75,0.008268167938868741,0.014098201648485225,0.011183184793676984
dWR_11.0,0.00827730841899194,0.013803348690830766,0.011040328554911353
WR,0.00860901756785033,0.013010712250605624,0.010809864909227977
sinWF2,0.012009405551847017,0.009296529798382098,0.010652967675114557
dWR_8.5,0.008687152620316673,0.012492369055863893,0.010589760838090283
sinWF1_LR,0.01185579188030234,0.008342921412465676,0.010099356646384009
WR_d11,0.008370901029123988,0.011825031984235656,0.010097966506679823
WR3,0.0098485243426741,0.009806927469496164,0.009827725906085133
dWR_12.0,0.008432829174706285,0.011173079226374087,0.009802954200540186
dWR_11.25,0.008246324536560557,0.011331302577308279,0.009788813556934419
sinWF3,0.010986652404937581,0.008183388367412557,0.009585020386175069
cosWF2,0.012420588841264396,0.006119696541290806,0.009270142691277601
cosWF1_LR,0.010644060534023803,0.007517143862285699,0.009080602198154751
sinWF1,0.01139240158074933,0.006507458034676315,0.008949929807712823
cosWF3,0.011420012984877936,0.005950495460664755,0.008685254222771346
dWR_12.5,0.0075948485378063155,0.009557412036421534,0.008576130287113924
WR_zone,0.010406473471764585,0.006104665358925489,0.008255569415345037
WR_b4,0.013077696572948988,0.0017460779020426998,0.007411887237495844
cosWF1,0.010079411258116453,0.004713918571173478,0.007396664914644966
logWR,0.0076661324894815265,0.007123160116661854,0.0073946463030716905
zone_LR,0.00996611894122592,0.004725107929469726,0.007345613435347823
WR_LR,0.006214824052944199,0.004864632324016734,0.005539728188480466
LR_WR_d11,0.005940206919899559,0.004630689973515738,0.005285448446707648
WR_b3,0.007429234356195234,0.001349053578949133,0.004389143967572184
WR_b2,0.007537602418707794,0.0010551045819405733,0.004296353500324184
LR_zone,0.0042233913964864036,0.002104212140891253,0.0031638017686888282
WR_b5,0.004709206497616103,0.0007285806243988276,0.0027188935610074653
LR_delta,0.0030560388972692555,0.0009674330934040403,0.002011735995336648
LR,0.0029124338140315746,0.0008828548342309672,0.0018976443241312708
LR2,0.0028813045263351837,0.0008998129075897268,0.0018905587169624552
logLR,0.0028200124765215507,0.000843210537816953,0.0018316115071692518
LR_flag,0.002632838350577255,0.0009610697672830744,0.0017969540589301647
WR_b1,0.00040958199902875947,2.691592507960456e-05,0.00021824896205418202
