LG,WR,LR,WF,FL,FU,BW,is_resonant,in_target_window,source
6.0,12.25,3.0,4.5,5.06,8.55,3.49,1,1,feedback
6.0,12.25,3.0,4.6,5.12,8.58,3.46,1,1,feedback
6.0,12.25,3.3,4.4,5.15,8.59,3.44,1,1,feedback
6.0,12.25,3.0,4.4,5.19,5.19,3.43,1,1,feedback
6.0,12.25,3.3,4.6,5.14,8.49,3.35,1,1,feedback
6.0,12.25,3.3,3.7,5.1,8.37,3.27,1,1,feedback
6.5,12.75,3.3,3.3,5.24,8.36,3.12,1,1,feedback
6.5,12.25,3.0,4.1,5.22,8.3,3.08,1,1,feedback
6.5,11.75,3.3,4.1,5.31,8.38,3.07,1,1,feedback
6.5,12.25,3.3,3.4,5.36,8.27,2.91,1,1,feedback
6.5,12.75,3.3,3.1,5.31,8.2,2.89,1,1,feedback
6.5,12.25,3.0,2.9,5.39,8.25,2.86,1,1,feedback
6.5,12.75,3.0,3.0,5.35,8.17,2.82,1,1,feedback
6.5,12.25,3.3,3.6,5.39,8.18,2.79,1,1,feedback
6.0,12.25,3.0,2.7,5.54,7.95,2.41,1,1,feedback
6.5,12.25,3.3,3.7,5.38,7.41,2.03,1,1,feedback
6.0,12.25,3.3,3.5,5.29,7.3,2.01,1,1,feedback
6.5,12.25,3.0,3.4,5.42,7.0,1.58,1,1,feedback
5.5,12.25,3.0,3.5,5.53,7.06,1.53,1,1,feedback
5.5,12.25,3.0,3.6,5.29,6.7,1.41,1,1,feedback
6.5,12.25,3.0,3.7,5.63,6.57,0.94,1,1,feedback
6.0,12.25,3.0,3.7,5.39,6.21,0.82,1,1,feedback
6.5,11.75,3.0,4.1,0.0,0.0,0.0,0,0,feedback
6.5,11.75,3.3,3.6,0.0,0.0,0.0,0,0,feedback
5.5,12.5,3.0,2.8,5.3,8.97,3.670000000000001,1,1,original
5.5,12.0,3.0,4.2,5.15,8.8,3.6500000000000004,1,1,original
5.5,12.0,3.3,4.4,5.13,8.78,3.6499999999999995,1,1,original
5.5,12.0,3.3,4.5,5.13,8.76,3.63,1,1,original
5.5,12.0,3.0,3.9,5.24,8.81,3.5700000000000003,1,1,original
5.5,12.0,3.3,4.8,5.12,8.69,3.5699999999999994,1,1,original
6.0,12.0,3.0,4.7,5.09,8.64,3.5500000000000007,1,1,original
5.5,12.0,3.0,4.1,5.19,8.74,3.55,1,1,original
5.5,12.5,3.0,3.5,5.22,8.76,3.54,1,1,original
6.0,12.0,3.0,5.0,5.1,8.63,3.530000000000001,1,1,original
5.5,12.0,3.0,3.6,5.3,8.83,3.5300000000000002,1,1,original
5.5,12.0,3.0,3.4,5.33,8.86,3.5299999999999994,1,1,original
5.5,12.5,3.0,3.8,5.14,8.66,3.5200000000000005,1,1,original
5.5,12.0,3.3,3.9,5.27,8.78,3.51,1,1,original
5.0,12.75,3.3,2.1,5.5,9.0,3.5,1,1,original
6.0,12.5,3.3,4.6,4.99,8.49,3.5,1,1,original
5.5,12.5,3.3,4.0,5.12,8.61,3.4899999999999993,1,1,original
5.5,12.0,3.3,4.1,5.26,8.74,3.4800000000000004,1,1,original
5.5,12.0,3.0,3.2,5.39,8.87,3.4799999999999995,1,1,original
6.0,12.0,3.0,4.9,5.13,8.59,3.46,1,1,original
6.0,12.0,3.3,4.8,5.15,8.61,3.459999999999999,1,1,original
6.0,12.0,3.3,4.6,5.14,8.58,3.4400000000000004,1,1,original
6.0,12.5,3.3,3.7,5.16,8.59,3.4299999999999997,1,1,original
6.0,12.5,3.0,4.4,5.07,8.5,3.4299999999999997,1,1,original
6.0,12.0,3.3,4.2,5.19,8.61,3.419999999999999,1,1,original
6.0,12.0,3.3,4.3,5.14,8.55,3.410000000000001,1,1,original
5.5,12.0,3.3,3.7,5.32,8.73,3.41,1,1,original
5.5,12.5,3.0,3.6,5.19,8.6,3.4099999999999993,1,1,original
6.0,12.0,3.0,4.6,5.13,8.54,3.4099999999999993,1,1,original
5.5,12.0,3.0,3.1,5.43,8.82,3.3900000000000006,1,1,original
6.0,12.5,3.3,4.4,5.04,8.41,3.37,1,1,original
6.0,12.0,3.3,4.4,5.14,8.51,3.37,1,1,original
5.5,12.0,3.0,3.7,5.31,8.68,3.37,1,1,original
6.0,12.0,3.0,3.8,5.3,8.67,3.37,1,1,original
6.0,12.5,3.0,4.3,5.14,8.5,3.3600000000000003,1,1,original
6.0,12.0,3.0,4.4,5.17,8.53,3.3599999999999994,1,1,original
6.0,12.5,3.3,4.1,5.09,8.44,3.3499999999999996,1,1,original
6.0,12.0,3.0,4.5,5.16,8.5,3.34,1,1,original
6.0,12.5,3.3,4.5,5.03,8.37,3.339999999999999,1,1,original
6.5,12.0,3.3,4.9,5.2,8.51,3.3099999999999996,1,1,original
6.0,12.0,3.3,4.5,5.25,8.55,3.3000000000000007,1,1,original
6.0,12.0,3.0,4.1,5.25,8.55,3.3000000000000007,1,1,original
6.5,12.0,3.0,4.1,5.25,8.55,3.3000000000000007,1,1,original
5.5,12.0,3.0,3.5,5.33,8.63,3.3000000000000007,1,1,original
6.0,12.5,3.0,3.0,5.11,8.41,3.3,1,1,original
6.0,12.5,3.3,3.1,5.19,8.48,3.29,1,1,original
6.0,12.0,3.3,3.6,5.29,8.57,3.2800000000000002,1,1,original
6.0,12.5,3.0,3.7,5.14,8.41,3.2700000000000005,1,1,original
5.5,12.0,3.3,3.5,5.4,8.67,3.2699999999999996,1,1,original
5.5,11.5,3.3,2.9,5.54,8.78,3.2399999999999993,1,1,original
5.5,12.5,3.0,3.4,5.25,8.47,3.2200000000000006,1,1,original
6.0,12.5,3.3,3.9,5.16,8.38,3.2200000000000006,1,1,original
5.5,12.0,3.3,3.1,5.43,8.64,3.210000000000001,1,1,original
6.5,12.0,3.0,4.6,5.26,8.46,3.200000000000001,1,1,original
6.0,12.0,3.3,4.0,5.36,8.56,3.2,1,1,original
6.0,12.5,3.0,3.5,5.32,8.52,3.1999999999999993,1,1,original
6.0,12.5,3.0,3.3,5.31,8.48,3.170000000000001,1,1,original
6.0,12.0,3.0,3.2,5.44,8.61,3.169999999999999,1,1,original
6.0,12.0,3.0,2.8,5.52,8.68,3.16,1,1,original
6.5,12.0,3.3,4.8,5.26,8.41,3.1500000000000004,1,1,original
6.0,12.0,3.0,2.4,5.6,8.75,3.1500000000000004,1,1,original
6.5,12.0,3.3,4.7,5.2,8.35,3.1499999999999995,1,1,original
6.5,12.5,3.3,4.4,5.14,8.28,3.1399999999999997,1,1,original
4.5,10.5,3.3,2.9,5.88,9.0,3.12,1,1,original
6.5,12.5,3.3,2.3,5.56,8.68,3.12,1,1,original
6.5,12.0,3.0,3.7,5.31,8.42,3.1100000000000003,1,1,original
5.0,12.0,3.0,3.5,5.28,8.39,3.1100000000000003,1,1,original
5.5,11.25,3.3,3.0,5.79,8.9,3.1100000000000003,1,1,original
6.5,12.75,3.3,3.0,5.28,8.38,3.1000000000000005,1,1,original
6.0,12.75,3.3,2.4,5.3,8.4,3.1000000000000005,1,1,original
6.0,12.0,3.0,3.1,5.47,8.57,3.1000000000000005,1,1,original
6.0,12.25,3.3,2.5,5.46,8.56,3.1000000000000005,1,1,original
5.5,12.5,3.0,3.0,5.17,8.27,3.0999999999999996,1,1,original
5.5,12.25,3.3,2.9,5.35,8.44,3.09,1,1,original
6.0,12.0,3.0,2.7,5.56,8.64,3.080000000000001,1,1,original
6.0,12.0,3.3,3.1,5.43,8.51,3.08,1,1,original
6.5,12.5,3.3,2.8,5.28,8.36,3.079999999999999,1,1,original
6.0,12.5,3.3,3.5,5.24,8.31,3.0700000000000003,1,1,original
6.0,12.0,3.3,3.5,5.43,8.5,3.0700000000000003,1,1,original
6.0,12.0,3.0,3.4,5.48,8.55,3.0700000000000003,1,1,original
6.0,12.0,3.3,3.2,5.53,8.6,3.0699999999999994,1,1,original
6.0,12.0,3.0,2.9,5.53,8.59,3.0599999999999996,1,1,original
6.0,12.0,3.0,2.6,5.61,8.67,3.0599999999999996,1,1,original
6.5,12.0,3.3,4.6,5.33,8.38,3.0500000000000007,1,1,original
6.0,12.5,3.0,2.4,5.58,8.62,3.039999999999999,1,1,original
6.0,12.25,3.3,2.7,5.47,8.5,3.0300000000000002,1,1,original
6.5,12.0,3.0,4.2,5.46,8.49,3.0300000000000002,1,1,original
6.5,11.75,3.3,2.5,5.76,8.79,3.0299999999999994,1,1,original
6.0,12.25,3.3,2.3,5.51,8.54,3.0299999999999994,1,1,original
6.5,12.5,3.3,2.9,5.29,8.31,3.0200000000000005,1,1,original
6.5,12.5,3.3,2.5,5.43,8.45,3.0199999999999996,1,1,original
6.5,12.0,3.0,4.0,5.38,8.39,3.0100000000000007,1,1,original
6.5,12.0,3.3,4.1,5.34,8.35,3.01,1,1,original
6.0,12.0,3.0,2.5,5.66,8.67,3.01,1,1,original
6.5,12.75,3.3,2.7,5.25,8.25,3.0,1,1,original
6.5,12.0,3.0,3.6,5.4,8.39,2.99,1,1,original
6.5,12.5,3.3,3.0,5.4,8.39,2.99,1,1,original
6.5,12.75,3.3,2.9,5.26,8.23,2.9700000000000006,1,1,original
